Date,Close,Volume,Open,High,Low
11/7/2011,14.37,6554831,$14.58 ,$14.70 ,$14.16 
11/8/2011,14.51,6869483,$14.44 ,$14.54 ,$13.99 
11/9/2011,13.39,13656040,$14.08 ,$14.11 ,$13.36 
11/10/2011,13.37,11340770,$13.82 ,$13.82 ,$13.26 
11/11/2011,14.10,10501370,$13.62 ,$14.22 ,$13.58 
11/14/2011,13.94,7796441,$13.91 ,$14.12 ,$13.80 
11/15/2011,14.22,8440028,$13.89 ,$14.33 ,$13.80 
11/16/2011,13.98,9562274,$14.04 ,$14.41 ,$13.94 
11/17/2011,13.54,9032364,$13.94 ,$14 ,$13.47 
11/18/2011,13.79,7360967,$13.70 ,$13.80 ,$13.43 
11/21/2011,13.41,7018730,$13.44 ,$13.53 ,$13.25 
11/22/2011,13.14,7591359,$13.39 ,$13.58 ,$13.01 
11/23/2011,12.63,7111217,$12.91 ,$13.06 ,$12.62 
11/25/2011,12.81,2809551,$12.66 ,$13.10 ,$12.58 
11/28/2011,13.20,8435345,$13.35 ,$13.41 ,$13.08 
11/29/2011,13.20,5613164,$13.33 ,$13.37 ,$13.11 
11/30/2011,14.15,13604460,$13.88 ,$14.23 ,$13.70 
12/1/2011,14.17,6666487,$14.08 ,$14.21 ,$13.75 
12/2/2011,14.31,8225895,$14.28 ,$14.57 ,$14.25 
12/5/2011,14.59,9172321,$14.65 ,$14.83 ,$14.44 
12/6/2011,14.44,6465013,$14.59 ,$14.62 ,$14.32 
12/7/2011,14.50,6673178,$14.34 ,$14.58 ,$14.19 
12/8/2011,14.04,8044618,$14.38 ,$14.47 ,$13.96 
12/9/2011,14.31,5502731,$14.16 ,$14.40 ,$14.11 
12/12/2011,14.09,6759179,$14.09 ,$14.12 ,$13.84 
12/13/2011,13.88,7020994,$14.25 ,$14.38 ,$13.71 
12/14/2011,13.71,6198034,$13.75 ,$13.89 ,$13.60 
12/15/2011,13.80,5586992,$13.92 ,$14.01 ,$13.71 
12/16/2011,13.88,7947056,$13.88 ,$14.10 ,$13.79 
12/19/2011,13.63,5046387,$13.96 ,$13.98 ,$13.61 
12/20/2011,14.26,8109245,$13.93 ,$14.30 ,$13.93 
12/21/2011,14.30,3969038,$14.32 ,$14.36 ,$13.99 
12/22/2011,14.55,5146378,$14.41 ,$14.69 ,$14.36 
12/23/2011,14.52,3695420,$14.64 ,$14.64 ,$14.38 
12/27/2011,14.67,3687214,$14.47 ,$14.73 ,$14.39 
12/28/2011,14.48,7480927,$14.64 ,$14.64 ,$14.37 
12/29/2011,14.75,4762216,$14.56 ,$14.78 ,$14.48 
12/30/2011,14.77,4573613,$14.75 ,$14.86 ,$14.66 
1/3/2012,14.87,9006019,$15.02 ,$15.20 ,$14.72 
1/4/2012,14.71,7726326,$14.81 ,$14.89 ,$14.60 
1/5/2012,14.93,7366974,$14.63 ,$14.94 ,$14.53 
1/6/2012,14.99,8358833,$14.93 ,$15.12 ,$14.86 
1/9/2012,15.13,12044570,$15 ,$15.17 ,$14.84 
1/10/2012,15.50,9842030,$15.34 ,$15.61 ,$15.28 
1/11/2012,15.70,9574427,$15.45 ,$15.79 ,$15.41 
1/12/2012,15.65,8521003,$15.82 ,$15.87 ,$15.50 
1/13/2012,15.56,6066451,$15.45 ,$15.65 ,$15.42 
1/17/2012,15.59,7702678,$15.77 ,$15.80 ,$15.47 
1/18/2012,15.86,6415027,$15.61 ,$15.90 ,$15.57 
1/19/2012,15.86,5760884,$15.88 ,$16.00 ,$15.71 
1/20/2012,16.23,8713101,$15.86 ,$16.23 ,$15.75 
1/23/2012,16.27,7933186,$16.24 ,$16.35 ,$16.13 
1/24/2012,16.46,7225871,$16.12 ,$16.53 ,$16.08 
1/25/2012,16.63,8494177,$16.40 ,$16.70 ,$16.25 
1/26/2012,16.39,8523133,$16.70 ,$16.82 ,$16.28 
1/27/2012,16.52,5107969,$16.33 ,$16.56 ,$16.23 
1/30/2012,16.33,7208177,$16.31 ,$16.45 ,$16.18 
1/31/2012,16.42,9570481,$16.44 ,$16.51 ,$16.31 
2/1/2012,16.54,7844962,$16.58 ,$16.67 ,$16.45 
2/2/2012,16.28,8339759,$16.54 ,$16.58 ,$16.20 
2/3/2012,16.91,7981826,$16.50 ,$16.91 ,$16.50 
2/6/2012,17.25,8516222,$16.84 ,$17.26 ,$16.72 
2/7/2012,17.12,5094932,$17.08 ,$17.16 ,$16.98 
2/8/2012,17.11,4890296,$17.07 ,$17.23 ,$16.93 
2/9/2012,16.90,5604376,$17.10 ,$17.18 ,$16.73 
2/10/2012,16.68,6445913,$16.73 ,$16.87 ,$16.59 
2/13/2012,17.01,9957063,$16.91 ,$17.11 ,$16.81 
2/14/2012,16.33,14335200,$16.75 ,$16.75 ,$16.19 
2/15/2012,16.18,10477980,$16.18 ,$16.57 ,$16.05 
2/16/2012,16.35,8002910,$16.16 ,$16.38 ,$16.12 
2/17/2012,16.40,5208186,$16.37 ,$16.47 ,$16.31 
2/21/2012,15.93,9248108,$16.23 ,$16.32 ,$15.83 
2/22/2012,15.76,8663418,$15.88 ,$16 ,$15.75 
2/23/2012,16.13,7755841,$15.75 ,$16.19 ,$15.69 
2/24/2012,15.98,6553027,$16.21 ,$16.25 ,$15.98 
2/27/2012,16.03,9480659,$15.85 ,$16.23 ,$15.77 
2/28/2012,15.87,9510958,$15.95 ,$16 ,$15.78 
2/29/2012,15.78,9227946,$15.99 ,$16.04 ,$15.70 
3/1/2012,15.66,8136519,$15.78 ,$15.86 ,$15.64 
3/2/2012,15.52,6203621,$15.65 ,$15.77 ,$15.48 
3/5/2012,15.53,8707171,$15.52 ,$15.60 ,$15.27 
3/6/2012,15.06,7599773,$15.31 ,$15.37 ,$15 
3/7/2012,15.28,10054760,$15.06 ,$15.31 ,$15 
3/8/2012,15.34,10562760,$15.36 ,$15.43 ,$15.17 
3/9/2012,15.55,11513400,$15.46 ,$15.59 ,$15.36 
3/12/2012,15.43,7662566,$15.54 ,$15.60 ,$15.41 
3/13/2012,16.20,12264640,$15.51 ,$16.23 ,$15.51 
3/14/2012,15.88,7446479,$16.16 ,$16.26 ,$15.87 
3/15/2012,15.90,9955883,$15.91 ,$16.07 ,$15.85 
3/16/2012,15.99,9402741,$15.83 ,$16.04 ,$15.82 
3/19/2012,16.50,9078212,$15.92 ,$16.53 ,$15.92 
3/20/2012,16.45,7135182,$16.38 ,$16.59 ,$16.35 
3/21/2012,16.33,5586466,$16.48 ,$16.59 ,$16.25 
3/22/2012,16.10,5540037,$16.22 ,$16.24 ,$15.90 
3/23/2012,16.20,5088427,$16.04 ,$16.29 ,$15.91 
3/26/2012,16.67,8511216,$16.40 ,$16.69 ,$16.35 
3/27/2012,16.54,6103395,$16.67 ,$16.81 ,$16.52 
3/28/2012,16.17,9720132,$16.45 ,$16.50 ,$16.03 
3/29/2012,16.02,8065179,$16.05 ,$16.15 ,$15.78 
3/30/2012,16.42,9796479,$16.09 ,$16.43 ,$15.98 
4/2/2012,16.54,7263070,$16.37 ,$16.58 ,$16.26 
4/3/2012,16.69,11442010,$16.52 ,$16.76 ,$16.39 
4/4/2012,16.25,7908095,$16.53 ,$16.56 ,$16.25 
4/5/2012,16.20,5539454,$16.18 ,$16.27 ,$16.11 
4/9/2012,15.90,5966187,$15.85 ,$15.99 ,$15.80 
4/10/2012,15.57,14416390,$15.88 ,$15.90 ,$15.48 
4/11/2012,16.01,5576589,$15.80 ,$16.04 ,$15.68 
4/12/2012,16.40,6294464,$16.06 ,$16.43 ,$15.95 
4/13/2012,16.31,5161882,$16.39 ,$16.45 ,$16.24 
4/16/2012,16.38,9155428,$16.50 ,$16.60 ,$16.25 
4/17/2012,16.49,9574540,$16.54 ,$16.56 ,$16.45 
4/18/2012,16.28,5201268,$16.38 ,$16.43 ,$16.28 
4/19/2012,16.60,12085160,$16.54 ,$16.98 ,$16.49 
4/20/2012,16.78,6209441,$16.75 ,$16.92 ,$16.65 
4/23/2012,16.37,9799650,$16.52 ,$16.59 ,$16.26 
4/24/2012,16.78,8101677,$16.42 ,$16.79 ,$16.38 
4/25/2012,16.61,12979110,$16.95 ,$16.95 ,$16.41 
4/26/2012,16.65,11321260,$16.59 ,$16.76 ,$16.52 
4/27/2012,16.79,8430387,$16.76 ,$16.82 ,$16.55 
4/30/2012,16.64,10310030,$16.76 ,$16.78 ,$16.49 
5/1/2012,17.06,9079059,$16.64 ,$17.20 ,$16.60 
5/2/2012,16.85,5046212,$16.97 ,$16.99 ,$16.80 
5/3/2012,16.50,10125350,$16.83 ,$17.04 ,$16.50 
5/4/2012,16.27,7161285,$16.40 ,$16.47 ,$16.22 
5/7/2012,16.20,7205292,$16.25 ,$16.30 ,$16.11 
5/8/2012,16.08,5939203,$16.05 ,$16.14 ,$15.85 
5/9/2012,15.97,8378869,$15.82 ,$16.08 ,$15.72 
5/10/2012,16.06,5898852,$16.13 ,$16.17 ,$15.88 
5/11/2012,16.13,5974488,$15.88 ,$16.16 ,$15.79 
5/14/2012,15.67,7788120,$15.86 ,$16.06 ,$15.63 
5/15/2012,15.55,4677129,$15.63 ,$15.71 ,$15.49 
5/16/2012,15.30,5366997,$15.66 ,$15.83 ,$15.30 
5/17/2012,14.49,12171850,$15.33 ,$15.34 ,$14.43 
5/18/2012,14.11,12472050,$14.58 ,$14.63 ,$14.04 
5/21/2012,14.88,11851690,$14.21 ,$14.88 ,$14.18 
5/22/2012,15.06,12426280,$14.88 ,$15.27 ,$14.86 
5/23/2012,15.13,7955704,$14.92 ,$15.19 ,$14.68 
5/24/2012,15.09,5466246,$15.19 ,$15.36 ,$14.87 
5/25/2012,15.15,4694801,$15.08 ,$15.19 ,$14.98 
5/29/2012,15.53,6089007,$15.28 ,$15.55 ,$15.24 
